,Place of Interest,Place Address,BiciMAD Station,BiciMAD Location,distance
86,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Ayala,Calle Ayala nº 44,3793.727242555006
192,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Velázquez-Diego de León,Calle Velázquez nº 91,3826.912421018472
137,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36,3831.176211572315
229,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,San Delfín,Calle San Delfín nº 9,3857.6545099553123
135,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Orense 36,Calle Orense nº 36,3929.539824323805
95,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Castelló,Calle Alcalá nº 111,3965.7255243387344
109,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Marqués de Salamanca,Calle José Ortega y Gasset nº 30,3981.8657057099463
156,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Velázquez 130,Calle Velázquez nº 130,3987.0868582797425
174,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Delicias,Calle Bustamante nº 1,3994.588748070709
146,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de la República Argentina,Plaza de la República Argentina nº 6,4065.8511184989775
140,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Paseo de la Habana 42,Paseo de la Habana nº 42,4069.814491779386
177,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Jaime el Conquistador,Calle Jaime el Conquistador nº 30,4102.918152842154
96,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Alcalá,Avenida de Menéndez Pelayo nº 3,4144.714410056867
240,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,San Germán 5,Calle San Germán nº 5,4165.539883472027
208,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Metro Tetuán,Calle Marqués de Viana nº 3,4195.841538334719
84,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,4214.929126436833
130,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Paseo de las Delicias,Paseo de las Delicias nº 92,4243.607396831583
90,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Príncipe de Vergara,Calle Hermosilla nº 70,4301.111334727365
224,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Antonio López,Calle Eugenio Caxes frente al nº 12,4327.079177192794
